name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,phone_number,secondary_filters_name,longitude,latitude,tipo_centro
Centre Educatiu Nostra Senyora de Lurdes,Via Augusta,73.0,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,8006.0,932377475,Ensenyament infantil (3-6 anys),41.40033102573054,2.150769811574501,reglat
Centre Educatiu Nostra Senyora de Lurdes,Via Augusta,73.0,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,8006.0,932377475,Educació primària,41.40033102573054,2.150769811574501,reglat
Centre Educatiu Dominiques de Barcelona,C Mallorca,349.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8013.0,932073165,Ensenyament infantil (3-6 anys),41.40052483409696,2.171235652839304,reglat
Centre Educatiu Dominiques de Barcelona,C Mallorca,349.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8013.0,932073165,Educació primària,41.40052483409696,2.171235652839304,reglat
Centre Educatiu Dominiques de Barcelona,C Mallorca,349.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8013.0,932073165,Educació secundària,41.40052483409696,2.171235652839304,reglat
Escola Orlandai,C Domínguez i Miralles,1.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8034.0,932030935,Ensenyament infantil (3-6 anys),41.39739233524259,2.119282896108102,reglat
Escola Orlandai,C Domínguez i Miralles,1.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8034.0,932030935,Educació primària,41.39739233524259,2.119282896108102,reglat
Centre Educatiu Mare de Déu del Coll,C Santuari,28.0,29.0,el Coll,6.0,Gràcia,8032.0,932846543,Ensenyament infantil (3-6 anys),41.42016221739847,2.1511102583797514,reglat
Centre Educatiu Mare de Déu del Coll,C Santuari,28.0,29.0,el Coll,6.0,Gràcia,8032.0,932846543,Educació primària,41.42016221739847,2.1511102583797514,reglat
Centre Educatiu Mare de Déu del Coll,C Santuari,28.0,29.0,el Coll,6.0,Gràcia,8032.0,932846543,Educació secundària,41.42016221739847,2.1511102583797514,reglat
Centre Educatiu Santa Dorotea,Pg Sant Joan Bosco,24.0,24.0,les Tres Torres,5.0,Sarrià-Sant Gervasi,8017.0,932032892,Ensenyament infantil (3-6 anys),41.39350536143271,2.129071949183403,reglat
Centre Educatiu Santa Dorotea,Pg Sant Joan Bosco,24.0,24.0,les Tres Torres,5.0,Sarrià-Sant Gervasi,8017.0,932032892,Educació primària,41.39350536143271,2.129071949183403,reglat
Centre Educatiu Santa Dorotea,Pg Sant Joan Bosco,24.0,24.0,les Tres Torres,5.0,Sarrià-Sant Gervasi,8017.0,932032892,Educació secundària,41.39350536143271,2.129071949183403,reglat
Centre Educatiu Fundació de Restauració i Hostalatge,Pg Taulat,243.0,69.0,Diagonal Mar i el Front Marítim del Poblenou,10.0,Sant Martí,8019.0,934532904,Formació professional,41.404315955153926,2.2114791383359984,reglat
Escola La Pau,Carrer d'Extremadura,15.0,73.0,la Verneda i la Pau,10.0,Sant Martí,8020.0,933136239,Ensenyament infantil (3-6 anys),41.42417941545302,2.209540076522833,reglat
Escola La Pau,Carrer d'Extremadura,15.0,73.0,la Verneda i la Pau,10.0,Sant Martí,8020.0,933136239,Educació primària,41.42417941545302,2.209540076522833,reglat
Facultat de Comunicació i Relacions Internacionals Blanquerna - URL,Pl Joan Coromines,1.0,1.0,el Raval,1.0,Ciutat Vella,8001.0,932533108,Universitats,41.38357176529572,2.1662962367757026,reglat
Centre Educatiu Jesuïtes Poble Sec - Sant Pere Claver,C Vila i Vilà,14.0,11.0,el Poble-sec,3.0,Sants-Montjuïc,8004.0,934418006,Ensenyament infantil (3-6 anys),41.372960637940906,2.173443171213383,reglat
Centre Educatiu Jesuïtes Poble Sec - Sant Pere Claver,C Vila i Vilà,14.0,11.0,el Poble-sec,3.0,Sants-Montjuïc,8004.0,934418006,Educació primària,41.372960637940906,2.173443171213383,reglat
Escola Joaquim Ruyra,C Llull,377.0,70.0,el Besòs i el Maresme,10.0,Sant Martí,8019.0,933071458,Ensenyament infantil (3-6 anys),41.41103665618324,2.214801739892089,reglat
Escola Joaquim Ruyra,C Llull,377.0,70.0,el Besòs i el Maresme,10.0,Sant Martí,8019.0,933071458,Educació primària,41.41103665618324,2.214801739892089,reglat
