district_code,district_name,income,genre,age,occupation,house_members,has_connection,has_connection_bcn,level_of_education,house_devices,longitude,latitude,educational_ocupational_index,educational_ocupational_index_district
6,Gràcia,3,1,42,1,2,1,4,5,3.0,2.1497246,41.410622,1.0,0.8773520558287237
8,Nou Barris,1,2,77,3,1,1,0,2,2.0,2.1784058,41.4446679,1.2315656206906897e-06,0.5367971980868633
8,Nou Barris,1,2,18,5,3,1,2,2,5.0,2.1602776,41.398379,1.0,0.5367971980868633
2,Eixample,3,2,67,3,6,2,0,2,0.0,2.1571809,41.3805855,0.4000155789504074,0.8878823968558166
2,Eixample,3,2,74,3,1,1,0,5,3.0,2.1485542,41.3861428,1.0,0.8878823968558166
6,Gràcia,4,1,52,1,5,1,0,5,12.0,2.1584734,41.40126,1.0,0.8773520558287237
2,Eixample,3,2,50,1,4,1,6,5,6.0,2.174672,41.406948,1.0,0.8878823968558166
4,Les Corts,4,1,75,3,2,1,0,5,5.0,2.1407373,41.3843495,1.0,0.9253424656411553
8,Nou Barris,1,2,82,3,2,1,0,2,2.0,2.1756414,41.4427316,3.1740354791907725e-07,0.5367971980868633
2,Eixample,5,1,57,2,2,1,0,5,2.0,2.1520411,41.3920523,1.0,0.8878823968558166
5,Sarrià - Sant Gervasi,5,1,64,3,3,1,0,4,6.0,2.1382205,41.4064374,1.0,0.9710576839202464
4,Les Corts,5,1,67,3,2,1,0,5,5.0,2.1742464,41.4293706,1.0,0.9253424656411553
2,Eixample,3,1,56,1,3,1,0,5,7.0,2.1510354,41.3857909,1.0,0.8878823968558166
8,Nou Barris,1,2,27,1,4,1,0,5,7.0,2.1761501,41.4599452,1.0,0.5367971980868633
6,Gràcia,3,1,22,5,4,1,0,5,8.0,2.1594095,41.4120408,1.0,0.8773520558287237
9,Sant Andreu,2,1,68,3,2,1,0,4,4.0,2.1945687,41.4329133,1.0,0.6710875151380777
4,Les Corts,4,2,84,3,1,2,0,2,1.0,2.1311574,41.3831157,0.6000002027752728,0.9253424656411553
5,Sarrià - Sant Gervasi,5,2,51,1,4,1,0,5,9.0,2.1324915,41.4006375,1.0,0.9710576839202464
2,Eixample,3,2,71,3,3,1,0,5,8.0,2.152803,41.3752028,1.0,0.8878823968558166
4,Les Corts,4,1,80,3,1,1,0,99,1.0,2.125028,41.378658,1.0,0.9253424656411553
6,Gràcia,4,1,45,2,4,1,0,2,2.0,2.1612275,41.4040619,0.6038193172738516,0.8773520558287237
6,Gràcia,3,2,79,3,1,2,0,2,0.0,2.1457152,41.4146987,0.40000074730674684,0.8773520558287237
9,Sant Andreu,1,1,60,2,2,1,0,3,3.0,2.2042491,41.4363362,8.977252107261447e-05,0.6710875151380777
8,Nou Barris,1,1,23,1,2,1,0,2,4.0,2.202111,41.3990936,0.934560936434722,0.5367971980868633
10,Sant Martí,4,1,44,1,4,1,5,5,9.0,2.1996715,41.4055601,1.0,0.7909123076143924
6,Gràcia,3,1,58,1,1,1,0,5,2.0,2.1385148,41.4136897,1.0,0.8773520558287237
5,Sarrià - Sant Gervasi,5,1,83,3,2,1,0,5,6.0,2.1368533,41.3971917,1.0,0.9710576839202464
10,Sant Martí,2,2,36,1,3,1,0,4,5.0,2.1846203,41.4150718,1.0,0.7909123076143924
8,Nou Barris,1,2,66,3,2,1,0,2,9.0,2.1843549,41.44053,1.9992362688947666e-05,0.5367971980868633
4,Les Corts,4,1,48,1,4,1,0,5,9.0,2.1402645,41.3865964,1.0,0.9253424656411553
