name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_zip_code,phone_number,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,longitude,latitude,estimated_dates,tipo_centro
Centre de Formació de Persones Adultes Montserrat Roig,Rbla Poblenou,130,68,el Poblenou,8018,932 564 935,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.40431575391908,2.197335085345547,,no_reglat
Escola Kingsbrook Lenguages & Service,Trav Gràcia,60,26,Sant Gervasi - Galvany,8006,932093763,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39635794255084,2.1501586198739004,,no_reglat
Escola Centre Informàtica Professional,C Comte d'Urgell,100,8,l'Antiga Esquerra de l'Eixample,8011,934265087,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.383561297242686,2.1570054802056897,,no_reglat
Escola d'Idiomes Nativos Language Consultants,C Méndez Núñez,4,4,"Sant Pere, Santa Caterina i la Ribera",8003,931672580,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38951853191377,2.1783842019894397,,no_reglat
Esc. Centro Superior de Idiomas,Tuset,26,26,Sant Gervasi - Galvany,8006,932176766,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.396187308090944,2.1518568541280936,,no_reglat
Instituto de Lenguas y Culturas del Mundo,Rda Universitat,14,7,la Dreta de l'Eixample,8007,933178501,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.3866836996125,2.167044271109128,,no_reglat
Escola Oficial d'Idiomes Barcelona - Drassanes,Av Drassanes,14,1,el Raval,8001,933249330,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.376845947273495,2.173410985764786,,no_reglat
Shakespeare School of English,Garcilaso,118,61,la Sagrera,8027,933527377,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.42335177989723,2.1842829372280463,,no_reglat
Escola Numor,C Pons i Gallarza,1,60,Sant Andreu,8030,932743444,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.43535513459526,2.1894400450855303,,no_reglat
Centre d'Ensenyament CEAC,Av Diagonal,662,19,les Corts,8034,900504152,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38932093617982,2.1288340319480503,,no_reglat
Centre de Formació Edukative,C Andrade,15,65,el Clot,8018,931652490,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.410818846031866,2.1940614144109145,,no_reglat
Centre de Formació d'Adults Campus de Formació,C Entença,219,19,les Corts,8029,934947443,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.38666374815549,2.141110840491261,,no_reglat
Centre Estudis Sistemes Informàtics,Jota,73,44,Vilapicina i la Torre Llobeta,8016,933400365,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.42943379885448,2.1791797812788545,,no_reglat
Centre Estudis Sistemes Informàtics,Jota,73,44,Vilapicina i la Torre Llobeta,8016,933400365,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.42943379885448,2.1791797812788545,,no_reglat
e-TIC Xarx@ntoni - Espai de tecnologies de la informació i la comunicació,C Calàbria,66,10,Sant Antoni,8015,937687868,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.378439326714265,2.156943405040372,,no_reglat
Clot Formació,C Muntanya,2,65,el Clot,8026,932444616,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.41078230050049,2.1890541300878863,,no_reglat
Clot Formació,C Muntanya,2,65,el Clot,8026,932444616,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.41078230050049,2.1890541300878863,,no_reglat
Camino Barcelona,C Consell de Cent,306,7,la Dreta de l'Eixample,8007,934678585,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39072364072983,2.1653719467619643,,no_reglat
SAXON SCHOOL OF ENGLISH,G.V. Corts Catalanes,437,9,la Nova Esquerra de l'Eixample,8015,934253362,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37851776848119,2.1533067897498896,,no_reglat
Institut Français de Barcelone,C Moià,8,26,Sant Gervasi - Galvany,8006,935677777,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39528348612812,2.1517956248758305,,no_reglat
Esc. Amano Juk,Entença,297,19,les Corts,8029,933216450,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38871561885929,2.1388007500019834,,no_reglat
