name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_zip_code,phone_number,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,longitude,latitude,estimated_dates,tipo_centro
Deutschstunde-Centro Aleman,Gran de Gràcia,10,31,la Vila de Gràcia,8012,932376322,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39824155348026,2.1575479583684625,,no_reglat
Escola Big Ben Idiomes,Pl Comas,15,19,les Corts,8028,933218573,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.385585529549886,2.130221426968681,,no_reglat
Escola London Language Centre,C Muntaner,184,8,l'Antiga Esquerra de l'Eixample,8036,934100077,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39250135405764,2.1519977690664587,,no_reglat
Centre de Formació 19@,Folgueroles,8,25,Sant Gervasi - la Bonanova,8022,934182030,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.40851277562447,2.135319235050139,,no_reglat
Centre de Formació 19@,Folgueroles,8,25,Sant Gervasi - la Bonanova,8022,934182030,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40851277562447,2.135319235050139,,no_reglat
Centre de Formació 19@,Folgueroles,8,25,Sant Gervasi - la Bonanova,8022,934182030,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.40851277562447,2.135319235050139,,no_reglat
Escola d'Ensenyaments Especialitzats,Via Laietana,71,2,el Barri Gòtic,8003,933011065,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38830073823368,2.172860192690487,,no_reglat
Escola d'Ensenyaments Especialitzats,Via Laietana,71,2,el Barri Gòtic,8003,933011065,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.38830073823368,2.172860192690487,,no_reglat
Institució Cultural del C.I.C.,Via Augusta,205,26,Sant Gervasi - Galvany,8021,932001133,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.397697285981785,2.1388954166038783,,no_reglat
Institució Cultural del C.I.C.,Via Augusta,205,26,Sant Gervasi - Galvany,8021,932001133,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.397697285981785,2.1388954166038783,,no_reglat
Centre Estudis Adams *Bailén,C Bailèn,126,7,la Dreta de l'Eixample,8009,934766600,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.39816939344093,2.1691955099313383,,no_reglat
Centre Bit Formació Informàtica *Avinguda Diagonal,Av Diagonal,618,26,Sant Gervasi - Galvany,8021,932092966,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.39227879510722,2.140964612287513,,no_reglat
Escola d'Adults ACIDH,C Siracusa,53,31,la Vila de Gràcia,8012,932859977,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.40207573147157,2.161048620795802,,no_reglat
Escola d'Idiomes Wellington House,Carrer de la Selva de Mar,239,72,Sant Martí de Provençals,8020,93 313 2193,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.4174016068176,2.1975979354921487,,no_reglat
Escola Kids & Us *Poblenou,C Llacuna,104,68,el Poblenou,8018,933007714,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40301860956107,2.196651519154208,,no_reglat
Escola International House Barcelona,C Trafalgar,14,4,"Sant Pere, Santa Caterina i la Ribera",8010,932684511,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38888851879421,2.175499631828166,,no_reglat
Escola Accent Idiomes *Gran Sant Andreu,C Otger,17,60,Sant Andreu,8030,93 346 67 37,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.43499910538759,2.190451224821487,,no_reglat
Centro de Asesoramiento y Formación de Empresa,Diputació,174,8,l'Antiga Esquerra de l'Eixample,8011,934541407,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.38430166830035,2.15910633990611,,no_reglat
Escola d'Idiomes abcCollege,C Guillem Tell,27,27,el Putxet i el Farró,8006,934155757,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40248304185173,2.1487581541235405,,no_reglat
Escola Today School *Sants,Sants,131,18,Sants,8028,934905636,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37537330889646,2.134058234005273,,no_reglat
Escola Lenvi,C Amílcar,61,44,Vilapicina i la Torre Llobeta,8031,933581600,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.42835439929884,2.1722251905210266,,no_reglat
Estudio Hispánico,Rbla Catalunya,121,7,la Dreta de l'Eixample,8008,932386658,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39464469260997,2.1583348372052726,,no_reglat
BP Systems Centre de Formació de Noves Tecnologies,C Pau Claris,87,7,la Dreta de l'Eixample,8010,933171343,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.39005120987149,2.170522432694373,,no_reglat
Tecniber-5,Padilla,395,33,el Baix Guinardó,8025,934562887,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.41216981869672,2.1682314733291035,,no_reglat
Tecniber-5,Padilla,395,33,el Baix Guinardó,8025,934562887,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.41216981869672,2.1682314733291035,,no_reglat
Vipe Escola d'Informàtica,Plaça de Comas,13,19,les Corts,8028,934304823,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.385517821033,2.130263160982958,,no_reglat
Escola Ingles Sun,Marina,114,66,el Parc i la Llacuna del Poblenou,8018,933008764,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39489035022539,2.1873526649247097,,no_reglat
Nuclio Digital School,Carrer de Padilla,285,6,la Sagrada Família,8025,932 20 58 90,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.40714692362567,2.175102223270663,,no_reglat
Eurolog Idiomes,C València,289,7,la Dreta de l'Eixample,8009,934159944,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.395477263906535,2.1668007748371148,,no_reglat
Esc. Don Quijote Barcelona,G.V. Corts Catalanes,629,7,la Dreta de l'Eixample,8010,934124849,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39126873855536,2.170270782785003,,no_reglat
Callan School Barcelona *Sèneca,Carrer de Sèneca,33,31,la Vila de Gràcia,8006,934150387,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39647846803821,2.155730758338111,,no_reglat
What’s Up! Barcelona *Via Augusta,Via Augusta,153,26,Sant Gervasi - Galvany,8021,93 595 22 77,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.398987934322335,2.143649378297102,,no_reglat
